Mapping-template-london-ward-map-2018,Ward name,Borough name,shape,Values,,,Ensure Macros are enabled then paste your data into column E,,,,,,"To use different colours to the default ones, find the RGB values of the colours you want, and enter them into the cell grid starting in U22.",,,,,,,,,UpdateAllcells,,MapNameToShape,,,,,,,,,,,,1.0,Equal Ranges (4),38.7,755.0,,,,,,,,,,,MapNameToShape,
E05000026,Abbey,Barking and Dagenham,Freeform_14191,128.3,,,,,,,,,Note: The map will only update properly when the Refresh Map button is clicked,,,,,,,,,$E$1,Chessington South,Freeform_13569,Freeform 13569,,,,,,,,,,,1.0,Equal Ranges (5),38.7,611.7,,,,,,,E05000405,Chessington South,Kingston upon Thames,Chessington South,Freeform_13569,Freeform 4
E05000027,Alibon,Barking and Dagenham,Freeform_14197,136.4,,,,,,,,,,,,,,,,,,,Tolworth and Hook Rise,Freeform_13570,Freeform 13570,,,,,,,,,,,1.0,Quantiles,38.7,121.5,,,,,,,E05000414,Tolworth and Hook Rise,Kingston upon Thames,Tolworth and Hook Rise,Freeform_13570,Freeform 5
E05000028,Becontree,Barking and Dagenham,Freeform_14196,128.8,,,,,,,,,"The low/high threshold ranges will be rounded depending on the size of the numbers being mapped, but the user may need to adjust the number of decimal places being displayed in the legend.",,,,,,,,,,Berrylands,Freeform_13571,Freeform 13571,,,,,Threshhold values,Colour (RGB),,,,,1.0,Quintiles,38.7,108.3,,,,,,,E05000401,Berrylands,Kingston upon Thames,Berrylands,Freeform_13571,Freeform 6
E05000029,Chadwell Heath,Barking and Dagenham,Freeform_14202,338.4,,,,,,,,,,,,,,,,,,,Alexandra,Freeform_13572,Freeform 13572,,,,,2905.0,#NAME?,,,,,2.0,Equal Ranges (4),755.0,1471.3,,,,,,,E05000400,Alexandra,Kingston upon Thames,Alexandra,Freeform_13572,Freeform 7
E05000030,Eastbrook,Barking and Dagenham,Freeform_14201,345.1,,,,,,,,,,,,,,,,,,,Beverley,Freeform_13573,Freeform 13573,,,,,330,#NAME?,,,,,2.0,Equal Ranges (5),611.7,1184.8,,,,,,,E05000402,Beverley,Kingston upon Thames,Beverley,Freeform_13573,Freeform 8
E05000031,Eastbury,Barking and Dagenham,Freeform_14193,143.9,,,,,,,,,"If an area has missing data type any text into its cell in column E eg 'n/a' - (do not enter a number, or leave it blank)",,,,,,,,,,Coombe Hill,Freeform_13574,Freeform 13574,,,,,220,#NAME?,,,,,2.0,Quantiles,121.5,185.7,,,,,,,E05000406,Coombe Hill,Kingston upon Thames,Coombe Hill,Freeform_13574,Freeform 9
E05000032,Gascoigne,Barking and Dagenham,Freeform_14187,113.9,,,,,,,,,,,,,,,,,,,Chessington North and Hook,Freeform_13575,Freeform 13575,,,,,160,#NAME?,,,,,2.0,Quintiles,108.3,160.6,,,,,,,E05000404,Chessington North and Hook,Kingston upon Thames,Chessington North and Hook,Freeform_13575,Freeform 10
E05000033,Goresbrook,Barking and Dagenham,Freeform_14194,127.8,,,,,,,,,"Tip: Copy and paste the map into Word, and copy and paste special the legend into Word, selecting 'Picture'. Pre Excel 2007, the map must be 'ungrouped' to function. Right click on the map and select Grouping>Ungroup. Then to copy select the cells around the map (H5:K31) and copy and paste special (picture) into Word.",,,,,,,,,,Surbiton Hill,Freeform_13576,Freeform 13576,,,,,110,#NAME?,,,,,3.0,Equal Ranges (4),1471.3,2187.6,,,,,,,E05000413,Surbiton Hill,Kingston upon Thames,Surbiton Hill,Freeform_13576,Freeform 11
E05000034,Heath,Barking and Dagenham,Freeform_14199,200.1,,,,,,,,,,,,,,,,,,,Old Malden,Freeform_13577,Freeform 13577,,,,,38.656,#NAME?,,,,,3.0,Equal Ranges (5),1184.8,1757.8,,,,,,,E05000410,Old Malden,Kingston upon Thames,Old Malden,Freeform_13577,Freeform 12
E05000035,Longbridge,Barking and Dagenham,Freeform_14192,164.5,,,,,,,,,,,,,,,,,,,St. Mark's,Freeform_13578,Freeform 13578,,,,,,,,,,,3.0,Quantiles,185.7,286.5,,,,,,,E05000412,St. Mark's,Kingston upon Thames,St. Mark's,Freeform_13578,Freeform 13
