Date,Vehicle type,Number of bookings,Number of spaces
01/04/2023,Recycling centre A (cars / small vans),246,320
01/04/2023,Recycling centre A (medium / large vans),8,17
01/04/2023,Recycling centre A (pedestrian / bicycle),2,15
02/04/2023,Recycling centre A (cars / small vans),266,320
02/04/2023,Recycling centre A (medium / large vans),24,17
02/04/2023,Recycling centre A (pedestrian / bicycle),3,15
03/04/2023,Recycling centre A (cars / small vans),203,320
03/04/2023,Recycling centre A (medium / large vans),3,17
03/04/2023,Recycling centre A (pedestrian / bicycle),0,15
06/04/2023,Recycling centre A (cars / small vans),223,320
06/04/2023,Recycling centre A (medium / large vans),24,17
06/04/2023,Recycling centre A (pedestrian / bicycle),2,15
07/04/2023,Recycling centre A (cars / small vans),289,320
07/04/2023,Recycling centre A (medium / large vans),22,17
07/04/2023,Recycling centre A (pedestrian / bicycle),0,15
08/04/2023,Recycling centre A (cars / small vans),242,320
08/04/2023,Recycling centre A (medium / large vans),24,17
08/04/2023,Recycling centre A (pedestrian / bicycle),2,15
09/04/2023,Recycling centre A (cars / small vans),263,320
09/04/2023,Recycling centre A (medium / large vans),23,17
09/04/2023,Recycling centre A (pedestrian / bicycle),2,15
10/04/2023,Recycling centre A (cars / small vans),292,320
10/04/2023,Recycling centre A (medium / large vans),20,17
10/04/2023,Recycling centre A (pedestrian / bicycle),2,15
13/04/2023,Recycling centre A (cars / small vans),202,320
13/04/2023,Recycling centre A (medium / large vans),24,17
13/04/2023,Recycling centre A (pedestrian / bicycle),2,15
14/04/2023,Recycling centre A (cars / small vans),220,320
14/04/2023,Recycling centre A (medium / large vans),8,17
14/04/2023,Recycling centre A (pedestrian / bicycle),2,15
15/04/2023,Recycling centre A (cars / small vans),222,320
15/04/2023,Recycling centre A (medium / large vans),26,17
15/04/2023,Recycling centre A (pedestrian / bicycle),2,15
16/04/2023,Recycling centre A (cars / small vans),280,320
16/04/2023,Recycling centre A (medium / large vans),23,17
16/04/2023,Recycling centre A (pedestrian / bicycle),2,15
17/04/2023,Recycling centre A (cars / small vans),222,320
17/04/2023,Recycling centre A (medium / large vans),23,17
17/04/2023,Recycling centre A (pedestrian / bicycle),0,15
20/04/2023,Recycling centre A (cars / small vans),223,320
20/04/2023,Recycling centre A (medium / large vans),26,17
20/04/2023,Recycling centre A (pedestrian / bicycle),2,15
21/04/2023,Recycling centre A (cars / small vans),226,320
21/04/2023,Recycling centre A (medium / large vans),3,17
21/04/2023,Recycling centre A (pedestrian / bicycle),2,15
22/04/2023,Recycling centre A (cars / small vans),206,320
22/04/2023,Recycling centre A (medium / large vans),26,17
22/04/2023,Recycling centre A (pedestrian / bicycle),0,15
23/04/2023,Recycling centre A (cars / small vans),239,320
23/04/2023,Recycling centre A (medium / large vans),24,17
23/04/2023,Recycling centre A (pedestrian / bicycle),0,15
24/04/2023,Recycling centre A (cars / small vans),223,320
24/04/2023,Recycling centre A (medium / large vans),9,17
24/04/2023,Recycling centre A (pedestrian / bicycle),2,15
27/04/2023,Recycling centre A (cars / small vans),234,320
27/04/2023,Recycling centre A (medium / large vans),22,17
27/04/2023,Recycling centre A (pedestrian / bicycle),0,15
28/04/2023,Recycling centre A (cars / small vans),208,320
28/04/2023,Recycling centre A (medium / large vans),20,17
28/04/2023,Recycling centre A (pedestrian / bicycle),2,15
29/04/2023,Recycling centre A (cars / small vans),226,320
29/04/2023,Recycling centre A (medium / large vans),24,17
