Date,Group,Total booked,Total spaces
01/04/2023,Recycling centre A (car / small van),145,400
01/04/2023,Recycling centre A (medium / large van),8,15
01/04/2023,Recycling centre A (pedestrian / bicycle),2,48
02/04/2023,Recycling centre A (car / small van),165,400
02/04/2023,Recycling centre A (medium / large van),14,15
02/04/2023,Recycling centre A (pedestrian / bicycle),3,48
03/04/2023,Recycling centre A (car / small van),103,400
03/04/2023,Recycling centre A (medium / large van),7,15
03/04/2023,Recycling centre A (pedestrian / bicycle),0,48
06/04/2023,Recycling centre A (car / small van),213,400
06/04/2023,Recycling centre A (medium / large van),14,15
06/04/2023,Recycling centre A (pedestrian / bicycle),2,48
07/04/2023,Recycling centre A (car / small van),189,400
07/04/2023,Recycling centre A (medium / large van),12,15
07/04/2023,Recycling centre A (pedestrian / bicycle),0,48
08/04/2023,Recycling centre A (car / small van),242,400
08/04/2023,Recycling centre A (medium / large van),14,15
08/04/2023,Recycling centre A (pedestrian / bicycle),1,48
09/04/2023,Recycling centre A (car / small van),157,400
09/04/2023,Recycling centre A (medium / large van),13,15
09/04/2023,Recycling centre A (pedestrian / bicycle),1,48
10/04/2023,Recycling centre A (car / small van),192,400
10/04/2023,Recycling centre A (medium / large van),10,15
10/04/2023,Recycling centre A (pedestrian / bicycle),2,48
13/04/2023,Recycling centre A (car / small van),202,400
13/04/2023,Recycling centre A (medium / large van),14,15
13/04/2023,Recycling centre A (pedestrian / bicycle),1,48
14/04/2023,Recycling centre A (car / small van),120,400
14/04/2023,Recycling centre A (medium / large van),8,15
14/04/2023,Recycling centre A (pedestrian / bicycle),1,48
15/04/2023,Recycling centre A (car / small van),211,400
15/04/2023,Recycling centre A (medium / large van),15,15
15/04/2023,Recycling centre A (pedestrian / bicycle),2,48
16/04/2023,Recycling centre A (car / small van),280,400
16/04/2023,Recycling centre A (medium / large van),13,15
16/04/2023,Recycling centre A (pedestrian / bicycle),1,48
17/04/2023,Recycling centre A (car / small van),121,400
17/04/2023,Recycling centre A (medium / large van),13,15
17/04/2023,Recycling centre A (pedestrian / bicycle),0,48
20/04/2023,Recycling centre A (car / small van),217,400
20/04/2023,Recycling centre A (medium / large van),15,15
20/04/2023,Recycling centre A (pedestrian / bicycle),2,48
21/04/2023,Recycling centre A (car / small van),125,400
